PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
NC3041120,DOLLAR GENERAL #20363,Transient non-community system,Ground water,Guilford,COLFAX,25,3,1,4
NC3097029,DOLLAR GENERAL #20382,Transient non-community system,Ground water,Wilkes,BOOMER,25,3,1,1
NC1000016,DOLLAR GENERAL #20458,Transient non-community system,Ground water,Yancey,BURNSVILLE,200,3,0,5
NC3017053,DOLLAR GENERAL #20498,Transient non-community system,Ground water,Caswell,LEASBURG,25,3,0,1
NC3041124,DOLLAR GENERAL #20502,Transient non-community system,Ground water,Guilford,JULIAN,25,3,0,2
NC1011062,DOLLAR GENERAL #20560,Transient non-community system,Ground water,Buncombe,ASHEVILLE,200,3,0,5
NC3085008,DOLLAR GENERAL #20566,Transient non-community system,Ground water,Stokes,LAWSONVILLE,25,3,0,1
NC3086072,DOLLAR GENERAL #20776,Transient non-community system,Ground water,Surry,MT AIRY,25,3,1,2
NC4092204,DOLLAR GENERAL #21250,Transient non-community system,Ground water,Wake,WENDELL,25,3,0,1
NC3041125,DOLLAR GENERAL #21337,Transient non-community system,Ground water,Guilford,COLFAX,25,3,0,1
NC1088039,DOLLAR GENERAL #21507,Transient non-community system,Ground water,Transylvania,BREVARD,200,3,0,1
NC1006017,DOLLAR GENERAL #21557,Transient non-community system,Ground water,Avery,NEWLAND,200,3,0,3
NC1011064,DOLLAR GENERAL #21759,Transient non-community system,Ground water,Buncombe,ARDEN,200,3,1,2
NC1020009,DOLLAR GENERAL #22094,Transient non-community system,Ground water,Cherokee,MURPHY,200,3,0,1
NC1087010,DOLLAR GENERAL #22423,Transient non-community system,Ground water,Swain,BRYSON CITY,200,2,1,2
NC3041131,DOLLAR GENERAL #22526,Transient non-community system,Ground water,Guilford,GREENSBORO,25,3,0,1
NC3079040,DOLLAR GENERAL #22532,Transient non-community system,Ground water,Rockingham,REIDSVILLE,25,3,0,1
NC3017055,DOLLAR GENERAL #22558,Transient non-community system,Ground water,Caswell,BURLINGTON,25,3,1,1
NC1087011,DOLLAR GENERAL #22714,Transient non-community system,Ground water,Swain,BRYSON CITY,200,3,0,1
NC6037000,DOLLAR GENERAL #22761,Transient non-community system,Ground water,Gates,CORAPEAKE,25,3,0,1
NC1011041,DOLLAR GENERAL #423,Transient non-community system,Ground water,Buncombe,CANDLER,200,3,1,8
NC3041112,DOLLAR GENERAL #9353,Transient non-community system,Ground water,Guilford,CLIMAX,25,3,0,3
NC2080081,DOLLAR GENERAL - ATWELL,Transient non-community system,Ground water,Rowan,MOORESVILLE,25,3,0,5
NC3086071,DOLLAR GENERAL 19730,Transient non-community system,Ground water,Surry,STATE ROAD,25,3,1,4
NC3086070,DOLLAR GENERAL 19965,Transient non-community system,Ground water,Surry,MT AIRY,25,3,0,2
NC2036035,DOLLAR GENERAL HWY 279 STORE 16652,Transient non-community system,Ground water,Gaston,BESSMER CITY,25,4,0,6
NC2080080,DOLLAR GENERAL HWY 601 STORE 16429,Transient non-community system,Ground water,Rowan,SALISBURY,25,3,2,9
NC4035032,DOLLAR GENERAL INGLESIDE,Transient non-community system,Ground water,Franklin,LOUISBURG,25,3,0,4
NC3017044,DOLLAR GENERAL NC 49,Transient non-community system,Ground water,Caswell,,25,4,5,9
NC3017051,DOLLAR GENERAL NC HWY 87,Transient non-community system,Ground water,Caswell,,25,3,3,4
NC4073025,DOLLAR GENERAL ROXBORO STORE #21332,Transient non-community system,Ground water,Person,ROXBORO,25,3,0,1
NC7010066,DOLLAR GENERAL STORE #11156,Transient non-community system,Ground water,Brunswick,BOLIVIA,75,3,2,6
NC3017052,DOLLAR GENERAL STORE #13809,Transient non-community system,Ground water,Caswell,SEMORA,25,3,2,3
NC3001016,DOLLAR GENERAL STORE #14901,Transient non-community system,Ground water,Alamance,SNOW CAMP,50,3,1,4
NC3001017,DOLLAR GENERAL STORE #15122,Transient non-community system,Ground water,Alamance,BELLMONT,50,3,0,3
NC3041105,DOLLAR GENERAL STORE #15343,Transient non-community system,Ground water,Guilford,BROWN SUMMITT,50,3,0,3
NC5026029,DOLLAR GENERAL STORE #15984,Transient non-community system,Ground water,Cumberland,,75,3,1,4
NC1057017,DOLLAR GENERAL STORE #16505,Transient non-community system,Ground water,Macon,,60,3,2,6
NC2049040,DOLLAR GENERAL STORE #16689,Transient non-community system,Ground water,Iredell,MOORESVILLE,25,4,0,15
NC7016044,DOLLAR GENERAL STORE #17043,Transient non-community system,Ground water,Carteret,SEA LEVEL,50,3,3,5
NC1057020,DOLLAR GENERAL STORE #17114,Transient non-community system,Ground water,Macon,FRANKLIN,75,3,1,6
NC1057021,DOLLAR GENERAL STORE #17200,Transient non-community system,Ground water,Macon,SCALY MTN,75,3,0,3
NC1088032,DOLLAR GENERAL STORE #17310,Transient non-community system,Ground water,Transylvania,PISGAN FOREST,75,3,2,3
NC1022005,DOLLAR GENERAL STORE #17442,Transient non-community system,Ground water,Clay,HAYESVILLE,75,3,0,4
NC5026031,DOLLAR GENERAL STORE #17481,Transient non-community system,Ground water,Cumberland,FAYETTEVILLE,75,4,0,2
NC5026030,DOLLAR GENERAL STORE #17482,Transient non-community system,Ground water,Cumberland,FAYETTEVILLE,100,3,0,3
NC7024028,DOLLAR GENERAL STORE #18407,Transient non-community system,Ground water,Columbus,WHITEVILLE,50,3,0,3
NC1050082,DOLLAR GENERAL STORE #18789,Transient non-community system,Ground water,Jackson,TUCKASEEGEE,200,2,1,1
NC2080084,DOLLAR GENERAL STORE #19670,Transient non-community system,Ground water,Rowan,CHINA GROVE,25,3,0,5
NC2080085,DOLLAR GENERAL STORE #20459,Transient non-community system,Ground water,Rowan,GOLD HILL,25,3,0,4
NC5026033,DOLLAR GENERAL STORE #20659,Transient non-community system,Ground water,Cumberland,FAYETTEVILLE,75,3,0,1
NC2018017,DOLLAR GENERAL STORE #21867,Transient non-community system,Ground water,Catawba,NEWTON,25,3,0,2
NC0155582,DOLLAR GENERAL STORE #3216,Transient non-community system,Ground water,Lincoln,VALE,25,3,7,17
NC2080068,DOLLAR GENERAL STORE 11597,Transient non-community system,Ground water,Rowan,,25,3,8,13
NC2080087,DOLLAR GENERAL STORE 20477,Transient non-community system,Ground water,Rowan,WOODLEAF,25,3,0,4
NC2036039,DOLLAR GENERAL STORE 20482,Transient non-community system,Ground water,Gaston,KINGS MOUNTAIN,25,3,0,5
NC2036040,DOLLAR GENERAL STORE 21479,Transient non-community system,Ground water,Gaston,GASTONIA,25,3,0,5
NC1075016,DOLLAR GENERAL STORE-MILL SPRING,Transient non-community system,Ground water,Polk,MILL SPRING,100,3,0,14
NC2080086,DOLLAR GENERAL STORE_20632,Transient non-community system,Ground water,Rowan,ROCKWELL,25,3,0,7
NC6059017,DOMTAR PAPER CO - MOBILE EQUIPMENT,Transient non-community system,Ground water,Martin,PLYMOUTH,25,3,0,8
NC2036036,DOT I-85 EXIT 13 WEIGH STATION,Transient non-community system,Ground water,Gaston,BESSEMER CITY,50,3,0,2
NC0195497,DOT-BLOWING ROCK RA US 221 W,Transient non-community system,Ground water,Watauga,BLOWING ROCK,40,4,2,15
NC0187575,DOT-BRYSON CITY LIC RENEW CTR,Transient non-community system,Ground water,Swain,BRYSON CITY,25,3,5,13
NC0465508,DOT-FT FISHER FERRY,Transient non-community system,Ground water,New Hanover,KURE BEACH,500,5,10,17
NC0442557,DOT-HALIFAX CO WEIGH ST NBL,Transient non-community system,Ground water,Halifax,ENFIELD,25,4,21,15
NC0442558,DOT-HALIFAX CO WEIGH ST SBL,Transient non-community system,Ground water,Halifax,ENFIELD,25,6,34,21
NC0448403,DOT-HATTERAS FERRY SOUTH DOCK,Transient non-community system,Ground water,Hyde,OCRACOKE,100,4,3,18
NC0145505,DOT-HENDERSON CO WEIGH ST WBL,Transient non-community system,Ground water,Henderson,NAPLES,100,3,9,17
NC0144121,DOT-I-40 REST AREA WBL,Transient non-community system,Ground water,Haywood,WAYNESVILLE,"1,000",12,24,14
NC0160542,DOT-I-85 WEIGH STATION SBL,Transient non-community system,Ground water,Mecklenburg,BELMONT,25,4,9,19
NC0286528,DOT-SURRY CO I-77 WEIGH ST NBL,Transient non-community system,Ground water,Surry,MT AIRY,200,3,7,11
NC0286529,DOT-SURRY CO I-77 WEIGH ST SBL,Transient non-community system,Ground water,Surry,MT AIRY,200,4,10,24
NC3086025,DOUBLE CREEK CHURCH OF CHRIST,Transient non-community system,Ground water,Surry,DOBSON,50,4,4,8
NC0241556,DOUBLE D BURNOUT SALOON,Transient non-community system,Ground water,Guilford,KERNERSVILLE,25,3,39,11
NC0100438,DOUBLE ISLAND BAPTIST CHURCH,Transient non-community system,Ground water,Yancey,GREEN MOUNTAIN,125,3,35,13
NC0382700,DOUG WILSON LABOR CAMP  NO 1,Transient non-community system,Ground water,Sampson,CLINTON,110,3,21,18
NC0382702,DOUG WILSON LABOR CAMP  NO 3,Transient non-community system,Ground water,Sampson,CLINTON,25,3,17,18
NC0103444,DOUGHTON PARK--CAMPGROUND,Transient non-community system,Ground water,Alleghany,BLUE RIDGE PKY,400,4,3,20
NC0102557,DOVER BAPTIST CHURCH,Transient non-community system,Ground water,Alexander,TAYLORSVILLE,120,3,1,18
NC0363414,DOVER BAPTIST CHURCH,Transient non-community system,Ground water,Moore,ROBBINS,150,3,19,21
NC0106490,DOWN BY THE RIVER CAMPGROUND,Transient non-community system,Ground water,Avery,PINEOLA,188,4,22,20
NC0407613,DOWRY CREEK MARINA,Transient non-community system,Ground water,Beaufort,BELHAVEN,25,3,23,21
NC0138433,DRY CREEK BAPTIST CHURCH,Transient non-community system,Ground water,Graham,ROBBINSVILLE,25,2,8,13
NC0235457,DUKE MEMORIAL BAPTIST CHURCH,Transient non-community system,Ground water,Franklin,SPRING HOPE,60,3,10,19
NC0160457,DULINS GROVE ADVENT CHRISTIAN,Transient non-community system,Ground water,Mecklenburg,CHARLOTTE,65,4,12,28
NC0181521,DUNCANS CREEK PRESBYTERIAN CH,Transient non-community system,Ground water,Rutherford,ELLENBORO,60,3,9,15
NC2080049,DUNNS MOUNTAIN PARK,Transient non-community system,Ground water,Rowan,SALISBURY,28,4,0,14
NC1088014,DUPONT STATE FOREST,Transient non-community system,Ground water,Transylvania,,30,4,2,12
NC1088038,DUPONT STATE FOREST HOOKER FALLS ACCESS,Transient non-community system,Ground water,Transylvania,BREVARD,100,2,1,3
NC1045047,DUPONT YURT AND KANTEEN,Transient non-community system,Ground water,Henderson,HENDESONVILLE,50,3,0,1
NC0144405,DUTCH COVE BAPTIST CHURCH,Transient non-community system,Ground water,Haywood,CANTON,125,3,20,18
NC4392620,DUTCHMAN DOWNS SWIM CLUB POOL,Transient non-community system,Ground water,Wake,RALEIGH,40,2,21,16
NC0180759,DUTCHMAN`S POINT CAMPGROUND,Transient non-community system,Ground water,Rowan,SALISBURY,30,3,3,21
NC0156454,DYSARTSVILLE BAPTIST CHURCH,Transient non-community system,Ground water,McDowell,NEBO,50,5,21,22
NC1056008,DYSARTVILLE CHEVRON/RESTAURANT,Transient non-community system,Ground water,McDowell,NEBO,150,3,7,10
NC2090004,EAGLE CHASE GOLF CLUB,Transient non-community system,Ground water,Union,MARSHVILLE,25,4,5,10
NC7065013,EAGLE ISLAND FRUIT & SEAFOOD,Transient non-community system,Ground water,New Hanover,WILMINGTON,200,4,10,19
NC0363481,EAGLE SPRINGS BAPTIST CHURCH,Transient non-community system,Ground water,Moore,EAGLE SPRINGS,75,5,50,21
NC0188435,EAGLES NEST FOUNDATION,Transient non-community system,Ground water,Transylvania,PISGAN FOREST,220,6,3,16
NC1088019,EAGLES NEST FOUNDATION #2,Transient non-community system,Ground water,Transylvania,PISGHA FOREST,220,2,1,3
NC1081030,EARTHHAVEN COUNCIL HALL,Transient non-community system,Ground water,Rutherford,BLACK MOUNTAIN,35,3,1,8
NC0188561,EARTHSHINE LODGE,Transient non-community system,Ground water,Transylvania,LAKE TOXAWAY,100,5,23,14
NC4064018,EAST COAST MIGRANT HS PROJECT,Transient non-community system,Ground water,Nash,BAILEY,75,3,0,11
NC0383448,EAST COAST UMBRELLA,Transient non-community system,Ground water,Scotland,LAUREL HILL,25,3,19,14
NC0144529,EAST FORK BAPTIST CHURCH,Transient non-community system,Ground water,Haywood,CANTON,75,3,7,10
NC0188407,EAST FORK BAPTIST CHURCH,Transient non-community system,Ground water,Transylvania,BREVARD,80,3,4,8
NC0150546,EAST LAPORTE RECREATION PARK,Transient non-community system,Ground water,Jackson,CULLOWHEE,25,4,19,16
NC0155492,EAST LINCOLN MINI MART INC,Transient non-community system,Ground water,Lincoln,IRON STATION,30,3,12,22
NC0155502,EAST LINCOLN MISSIONARY BAPT,Transient non-community system,Ground water,Lincoln,IRON STATION,55,3,38,43
NC0416502,EASTERN PARK,Transient non-community system,Ground water,Carteret,SMYRNA,200,3,13,14
NC7016014,EASTERN PARK ANNEX,Transient non-community system,Ground water,Carteret,SMYRNA,200,6,15,13
NC0180502,EASTSIDE BAPT CHURCH,Transient non-community system,Ground water,Rowan,SALISBURY,55,3,35,48
NC0149572,EASTSIDE BAPTIST CHURCH,Transient non-community system,Ground water,Iredell,MOORESVILLE,125,4,30,46
NC0155494,EASTWIND UNITED PENTECOSTAL CH,Transient non-community system,Ground water,Lincoln,IRON STATION,50,3,39,24
NC0368402,EBENEZER BAPTIST CHURCH,Transient non-community system,Ground water,Orange,HILLSBOROUGH,800,4,34,22
NC0180638,EBENEZER LUTHERAN CHURCH,Transient non-community system,Ground water,Rowan,CHINA GROVE,60,4,17,34
NC0118414,EBENEZER METH CHURCH,Transient non-community system,Ground water,Catawba,VALE,130,3,21,23
NC0279413,EDEN UNITED METHODIST CH,Transient non-community system,Ground water,Rockingham,MADISON,60,3,13,8
NC0145531,EDNEYVILLE UMC,Transient non-community system,Ground water,Henderson,EDNEYVILLE,70,3,5,11
NC0155577,EL SHADDAI FULL GOSPEL CHURCH,Transient non-community system,Ground water,Lincoln,IRON STATION,50,3,22,21
NC0187123,ELA CAMPGROUND,Transient non-community system,Ground water,Swain,BRYSON CITY,368,4,43,17
NC0201417,ELI WHITNEY RECREATION CENTER,Transient non-community system,Ground water,Alamance,GRAHAM,25,3,31,21
NC6028003,ELIZABETHAN INN,Transient non-community system,Ground water,Dare,MANTEO,40,4,0,25
NC0197474,ELK BAPTIST CHURCH,Transient non-community system,Ground water,Wilkes,FERGUSON,25,3,21,8
NC3095021,ELK KNOB STATE PARK VISITOR OFFICE,Transient non-community system,Ground water,Watauga,,25,3,0,6
NC0106418,ELK VALLEY BAPTIST CHURCH,Transient non-community system,Ground water,Avery,BANNER ELK,50,2,8,14
NC0363596,ELLIOTT`S ON LINDEN,Transient non-community system,Ground water,Moore,PINEHURST,70,3,20,16
NC0180584,ELLIS PARK,Transient non-community system,Ground water,Rowan,SALISBURY,100,3,7,34
NC0279468,ELLISBORO BAPTIST CHURCH,Transient non-community system,Ground water,Rockingham,MADISON,25,3,12,22
NC0279613,ELM GROVE BAPTIST CHURCH,Transient non-community system,Ground water,Rockingham,REIDSVILLE,200,4,8,17
NC0160463,ELON PARK,Transient non-community system,Ground water,Mecklenburg,CHARLOTTE,25,4,2,28
NC1061007,EMERALD VILLAGE,Transient non-community system,Ground water,Mitchell,LITTLE SWITZERLAND,25,3,16,12
NC7010043,EMMANUAL OUTREACH CHURCH,Transient non-community system,Ground water,Brunswick,ASH,100,4,30,25
NC0363541,EMMANUEL BAPTIST CHURCH,Transient non-community system,Ground water,Moore,CARTHAGE,150,4,20,25
NC0145532,EMMANUEL BAPTIST CHURCH,Transient non-community system,Ground water,Henderson,HORSE SHOE,65,2,14,11
NC4392452,ENCHANTED OAKS POOL HOA,Transient non-community system,Ground water,Wake,RALEIGH,75,2,17,11
NC0187604,ENDLESS RIVER ADVENTURES,Transient non-community system,Ground water,Swain,BRYSON CITY,75,3,18,10
NC0106522,ENNIS DENTAL BUILDING,Transient non-community system,Ground water,Avery,BANNER ELK,25,3,13,13
NC4064034,ENNIS PARK,Transient non-community system,Ground water,Nash,RED OAK,50,3,3,5
NC0332550,ENO RIVER ST PARK,Transient non-community system,Ground water,Durham,DURHAM,150,6,13,18
NC0180690,ENOCHVILLE CHURCH OF GOD,Transient non-community system,Ground water,Rowan,KANNAPOLIS,150,3,19,35
NC0239455,ENON BAPTIST CHURCH,Transient non-community system,Ground water,Granville,OXFORD,90,5,11,11
NC0188417,ENON BAPTIST CHURCH,Transient non-community system,Ground water,Transylvania,PISGAH FOREST,115,5,10,22
NC0158403,ENON BAPTIST CHURCH,Transient non-community system,Ground water,Madison,MARSHALL,100,4,2,10
NC0464554,EPHESUS BAPTIST CHURCH,Transient non-community system,Ground water,Nash,SPRING HOPE,100,3,8,11
NC0273474,EPHESUS BAPTIST CHURCH,Transient non-community system,Ground water,Person,SEMORA,100,6,7,17
NC0145533,EPISCOPAL CH OF THE HOLY FAMIL,Transient non-community system,Ground water,Henderson,NILLS RIVER,90,3,10,10
NC0145534,EPISCOPAL CH OF THE TRANSFIGUR,Transient non-community system,Ground water,Henderson,BAT CAVE,75,6,12,17
NC0382538,EPISCOPAL FARMWORKER MINISTRY,Transient non-community system,Ground water,Sampson,NEWTON GROVE,75,3,15,14
NC0181572,ESMERALDA INN & RESTAURANT,Transient non-community system,Ground water,Rutherford,CHIMNEY ROCK,69,5,5,8
NC0363575,ESTES TRUCKING COMPANY,Transient non-community system,Ground water,Moore,ABERDEEN,50,3,11,14
NC1038001,ETERNAL BELIEVERS MIS. BAPTIST,Transient non-community system,Ground water,Graham,FONTANA DAM,65,3,1,10
NC0416462,ETT PROPERTIES LLC,Transient non-community system,Ground water,Carteret,CEDAR ISLAND,100,4,34,10
NC2049023,EUFOLA BAPTIST CHURCH,Transient non-community system,Ground water,Iredell,STATEVILLE,310,3,2,18
NC5026024,EUREKA SPRINGS TRAINING SITE,Transient non-community system,Ground water,Cumberland,SPRING LAKE,50,4,2,10
NC0392586,EVANGEL PENT HOLINESS CH,Transient non-community system,Ground water,Wake,FUQUAY VARINA,45,4,26,11
NC0319458,EVANS CHAPEL AMEZ CHURCH,Transient non-community system,Ground water,Chatham,SILER CITY,100,3,13,14
NC0326740,EVERGREEN BAPTIST CHURCH,Transient non-community system,Ground water,Cumberland,AUTRYVILLE,75,4,9,17
NC0382462,EVERGREEN MISSIONARY BAPT CH,Transient non-community system,Ground water,Sampson,ROSE HILL,50,4,10,18
NC0382545,EZZELL TRUCKING INC,Transient non-community system,Ground water,Sampson,HARRELLS,50,4,37,22
NC0190548,FAIRFIELD BAPTIST CHURCH,Transient non-community system,Ground water,Union,MARSHVILLE,50,4,49,23
NC0181403,FAIRVIEW BAPTIST CHURCH,Transient non-community system,Ground water,Rutherford,BOSTIC,90,3,5,15
NC0363512,FAIRVIEW BAPTIST CHURCH,Transient non-community system,Ground water,Moore,WEST END,50,5,10,20
NC3086022,FAIRVIEW BAPTIST CHURCH,Transient non-community system,Ground water,Surry,DOBSON,25,2,15,18
NC0279450,FAIRVIEW BAPTIST CHURCH,Transient non-community system,Ground water,Rockingham,REIDSVILLE,125,4,18,14
NC0286659,FAIRVIEW UNITED METHODIST CH,Transient non-community system,Ground water,Surry,PINNACLE,25,4,5,6
NC0285552,FAITH BAPTIST CH-GERMANTON,Transient non-community system,Ground water,Stokes,GERMANTON,57,2,28,14
NC5063022,FAITH BAPTIST CHURCH,Transient non-community system,Ground water,Moore,WEST END,150,5,5,6
NC0188478,FAITH BAPTIST CHURCH,Transient non-community system,Ground water,Transylvania,LAKE TOXAWAY,25,3,8,11
NC0118767,FAITH BAPTIST CHURCH,Transient non-community system,Ground water,Catawba,NEWTON,50,4,22,47
NC0175410,FAITH BAPTIST CHURCH,Transient non-community system,Ground water,Polk,MILL SPRING,100,3,6,21
NC0155532,FAITH BAPTIST CHURCH,Transient non-community system,Ground water,Lincoln,IRON STATION,100,3,4,20
NC0392759,FAITH BIBLE FELLOWSHIP,Transient non-community system,Ground water,Wake,RALEIGH,75,3,22,9
NC3099019,FAITH COMMUNITY CHURCH,Transient non-community system,Ground water,Yadkin,EAST BEND,25,3,20,11
NC1000004,FAITH FELLOWSHIP CHURCH,Transient non-community system,Ground water,Yancey,MICAVILLE,125,3,14,10
NC0299560,FAITH FELLOWSHIP CHURCH,Transient non-community system,Ground water,Yadkin,YADKINVILLE,70,4,13,15
NC0156442,FAITH MISSION BAPTIST CHURCH,Transient non-community system,Ground water,McDowell,MARION,85,3,2,18
NC0299426,FALL CREEK BAPTIST CHURCH,Transient non-community system,Ground water,Yadkin,JONESVILLE,300,4,5,6
NC0454450,FALLING CREEK COUNTRY CLUB,Transient non-community system,Ground water,Lenoir,KINSTON,250,3,8,32
NC0187616,FALLING WATERS RESORT (LODGE),Transient non-community system,Ground water,Swain,BRYSON CITY,44,3,71,12
NC0187617,FALLING WATERS RESORT (YURT),Transient non-community system,Ground water,Swain,BRYSON CITY,39,3,75,12
NC4392525,FALLS LAKE CONGREGATION,Transient non-community system,Ground water,Wake,RALEIGH,100,4,41,13
NC4392403,FALLS LAKE MANAGEMENT CENTER,Transient non-community system,Ground water,Wake,WAKE FOREST,25,3,1,14
NC4392149,FALLS LAKE SRA-HOLLY POINT,Transient non-community system,Ground water,Wake,WAKE FOREST,254,10,4,13
NC2055013,FAMILY DOLLAR #10815,Transient non-community system,Ground water,Lincoln,IRON STATION,25,3,3,12
NC3041029,FAMILY MEDICINE OF SUMMERFIELD,Transient non-community system,Ground water,Guilford,SUMMERFIELD,25,5,0,17
NC0156543,FAMOUS LOUISE ROCKHOUSE RT,Transient non-community system,Ground water,McDowell,LINVILLE FALLS,100,3,1,10
NC0136892,FANCY HILL BAPTIST CHURCH,Transient non-community system,Ground water,Gaston,DALLAS,75,3,16,49
NC0276460,FARMER MISSIONARY BAPT CHURCH,Transient non-community system,Ground water,Randolph,ASHEBORO,40,4,12,11
NC0368433,FARMHOUSE RESTAURANT,Transient non-community system,Ground water,Orange,CHAPEL HILL,50,4,97,21
NC0279741,FARRIS MEMORIAL PARK,Transient non-community system,Ground water,Rockingham,MAYODAN,25,3,27,15
NC2080072,FATHER & SON PRODUCE MARKET,Transient non-community system,Ground water,Rowan,SALISBURY,25,3,0,9
NC4064033,FAULKNER`S STORE,Transient non-community system,Ground water,Nash,RED OAK,50,3,9,12
NC5326413,FED EX FREIGHT,Transient non-community system,Ground water,Cumberland,HOPE MILLS,30,3,17,13
NC7065012,FELLOWSHIP BAPTIST CHURCH,Transient non-community system,Ground water,New Hanover,WILMINGTON,100,5,0,9
NC0184547,FELLOWSHIP BAPTIST CHURCH,Transient non-community system,Ground water,Stanly,ALBEMARLE,25,3,2,18
NC2049025,FELLOWSHIP BAPTIST CHURCH,Transient non-community system,Ground water,Iredell,MOORESVILLE,112,3,6,17
NC0155574,FELLOWSHIP BAPTIST CHURCH,Transient non-community system,Ground water,Lincoln,MAIDEN,65,3,3,18
NC0239446,FELLOWSHIP BAPTIST CHURCH,Transient non-community system,Ground water,Granville,CREEDMOOR,95,2,8,8
NC0392587,FELLOWSHIP BAPTIST CHURCH,Transient non-community system,Ground water,Wake,WILLOW SPRINGS,250,4,17,11
NC0145538,FELLOWSHIP BAPTIST CHURCH,Transient non-community system,Ground water,Henderson,HENDERSONVILLE,80,4,4,9
NC0144598,FERGUSON SUPPLY & DELI,Transient non-community system,Ground water,Haywood,CLYDE,150,4,47,32
NC0149406,FERN HILL BAPT CHURCH,Transient non-community system,Ground water,Iredell,MOORESVILLE,60,4,35,25
NC0319443,FIDDLESTIX AT JORDAN LAKE,Transient non-community system,Ground water,Chatham,PITTSBORO,50,4,7,8
NC0120453,FIELDS OF THE WOOD,Transient non-community system,Ground water,Cherokee,MURPHY,25,3,28,11
NC0368480,FIESTA GRILL,Transient non-community system,Ground water,Orange,CHAPEL HILL,75,3,14,14
NC0144460,FINES CRK MEM BAPT CHURCH,Transient non-community system,Ground water,Haywood,CLYDE,100,3,22,18
NC0145530,FIRESIDE GOLF RANGE,Transient non-community system,Ground water,Henderson,HENDERSONVILLE,25,3,26,16
NC0241441,FIRST BAPTIST CHURCH,Transient non-community system,Ground water,Guilford,SUMMERFIELD,25,3,4,12
NC2080048,FIRST BAPTIST CHURCH OF GOLD HILL,Transient non-community system,Ground water,Rowan,,60,3,2,12
NC2080020,FIRST BAPTIST OF ENOCHVILLE,Transient non-community system,Ground water,Rowan,KANNAPOLIS,80,3,8,24
NC0181519,FIRST BROAD BAPTIST CHURCH,Transient non-community system,Ground water,Rutherford,BOSTIC,90,4,10,12
NC0332580,FIRST LEDGE ROCK BAPTIST CH,Transient non-community system,Ground water,Durham,DURHAM,30,3,28,15
NC4392471,FIRST TEE TRIANGLE,Transient non-community system,Ground water,Wake,RALEIGH,25,2,17,10
NC0326853,FIRST UNITED COMMUNITY CHURCH,Transient non-community system,Ground water,Cumberland,HOPE MILLS,40,3,8,17
NC0428434,FISHERMAN`S WHARF RESTAURANT,Transient non-community system,Ground water,Dare,WANCHESE,400,3,9,22
NC0464573,FISHER`S MIGRANT LABOR CAMP,Transient non-community system,Ground water,Nash,WHITAKERS,100,4,23,18
NC0368434,FIVE FORKS BAPT CHURCH,Transient non-community system,Ground water,Orange,CEDAR GROVE,165,4,8,12
NC0201595,FIVE POINTS GROCERY & GRILL,Transient non-community system,Ground water,Alamance,BURLINGTON,25,4,16,12
NC0190509,FLAG BRANCH BAPTIST CHURCH,Transient non-community system,Ground water,Union,MONROE,60,5,29,28
NC0150184,FLAMING ARROW CAMPGROUND,Transient non-community system,Ground water,Jackson,CHEROKEE,203,4,8,28
NC0111449,FLAT CREEK BAPTIST CHURCH,Transient non-community system,Ground water,Buncombe,WEAVERVILLE,109,3,6,17
NC0299438,FLAT ROCK BAPTIST CHURCH,Transient non-community system,Ground water,Yadkin,HAMPTONVILLE,25,3,10,11
NC0363502,FLINT HILL BAPTIST CHURCH,Transient non-community system,Ground water,Moore,ROBBINS,100,5,11,17
NC3099028,FLINT HILL VINEYARD,Transient non-community system,Ground water,Yadkin,,25,3,6,6
NC0195132,FLINTLOCK CAMPGROUND,Transient non-community system,Ground water,Watauga,BOONE,245,4,11,27
NC0286654,FLIPPIN MEMORIAL BAPTIST CH,Transient non-community system,Ground water,Surry,MT AIRY,100,3,1,7
NC4392422,FOCUS CHURCH,Transient non-community system,Ground water,Wake,RALEIGH,450,4,17,18
NC1012034,FONTA FLORA COUNTY PARK,Transient non-community system,Ground water,Burke,LINVILLE,40,3,1,2
NC0197512,FOOD FAIR 2,Transient non-community system,Ground water,Wilkes,FERGUSON,25,3,23,12
NC0285525,FOOT HILLS MARKET & GRILL INC,Transient non-community system,Ground water,Stokes,MADISON,25,4,25,13
NC0197547,FOOTHILLS DELI/GROCERY,Transient non-community system,Ground water,Wilkes,THURMOND,25,4,10,16
NC0299507,FORBUSH BAPTIST CHURCH,Transient non-community system,Ground water,Yadkin,YADKINVILLE,70,4,15,18
NC4092189,FOREST RIDGE PARK,Transient non-community system,Ground water,Wake,RALEIGH,25,4,0,2
NC1081017,FORK CREEK BAPTIST CHURCH,Transient non-community system,Ground water,Rutherford,UNION MILLS,90,3,4,6
NC5026012,FORT BRAGG RANGE-33,Transient non-community system,Ground water,Cumberland,FORT BRAGG,25,4,1,10
NC5026013,FORT BRAGG RANGE-43,Transient non-community system,Ground water,Cumberland,FORT BRAGG,25,5,1,13
NC5047004,FORT BRAGG RANGE-63,Transient non-community system,Ground water,Hoke,FORT BRAGG,25,4,2,11
NC5047005,FORT BRAGG RANGE-74,Transient non-community system,Ground water,Hoke,FORT BRAGG,25,4,2,11
NC5047007,FORT BRAGG RANGE-79,Transient non-community system,Ground water,Hoke,FORT BRAGG,25,4,1,10
